"","CREDDESC","EARN_MALE_WNE_MDN_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_MALE_WNE_MDN_4YR","EARN_NOMALE_WNE_MDN_4YR"
"10995","Bachelor's Degree",62246,54995,81541,67076
"10996","Bachelor's Degree",81098,56639,81029,70370
"10997","Master's Degree",75874,66988,91518,68688
"10998","Master's Degree",47328,43815,46246,45333
"10999","Bachelor's Degree",51159,37633,58130,44684
"11000","Master's Degree",52253,48068,60198,53323
"11001","Bachelor's Degree",58320,47076,67692,55569
"11002","Master's Degree",69438,54417,78289,60892
"11003","Bachelor's Degree",48333,48441,50241,56517
"11004","Master's Degree",57206,57848,62101,59490
"11005","Master's Degree",45398,50349,59988,54174
"11006","Bachelor's Degree",62246,54995,81541,67076
"11007","Bachelor's Degree",81098,56639,81029,70370
"11008","Master's Degree",75874,66988,91518,68688
"11009","Master's Degree",47328,43815,46246,45333
"11010","Bachelor's Degree",51159,37633,58130,44684
"11011","Master's Degree",52253,48068,60198,53323
"11012","Bachelor's Degree",58320,47076,67692,55569
"11013","Master's Degree",69438,54417,78289,60892
"11014","Bachelor's Degree",48333,48441,50241,56517
"11015","Master's Degree",57206,57848,62101,59490
"11016","Master's Degree",45398,50349,59988,54174
"11017","Undergraduate Certificate or Diploma",17368,16404,22820,18540
"11018","Associate's Degree",49354,38097,54214,34863
"11019","Bachelor's Degree",49542,45765,49681,49308
"11020","Undergraduate Certificate or Diploma",30073,28138,33819,30426
"11021","Associate's Degree",66957,60688,71638,67473
"11022","Undergraduate Certificate or Diploma",50522,42023,49263,45662
"11023","Associate's Degree",42632,40015,54199,41076
"11024","Bachelor's Degree",60151,51275,64647,52387
"11025","Associate's Degree",45032,40396,47408,44029
"11026","Bachelor's Degree",53296,49680,61898,55331
"11027","Bachelor's Degree",55935,45956,64582,53971
"11028","Associate's Degree",46805,36097,48666,41535
"11029","Undergraduate Certificate or Diploma",18796,15804,23916,20331
"11030","Undergraduate Certificate or Diploma",15896,16316,21326,19967
"11031","Undergraduate Certificate or Diploma",19375,17737,14716,21097
"11032","Associate's Degree",34596,31565,43523,37957
"11033","Undergraduate Certificate or Diploma",36287,27328,39621,30404
"11034","Undergraduate Certificate or Diploma",26181,28756,41244,34815
"11035","Undergraduate Certificate or Diploma",33415,28873,33214,33055
"11036","Associate's Degree",34596,31565,43523,37957
"11037","Undergraduate Certificate or Diploma",36287,27328,39621,30404
"11038","Undergraduate Certificate or Diploma",33415,28873,33214,33055
"11039","Undergraduate Certificate or Diploma",66246,58570,62888,60720
"11040","Associate's Degree",75724,54255,83469,54117
"11041","Bachelor's Degree",76536,66927,90061,67317
"11042","Master's Degree",84510,69817,90552,78270
"11043","Associate's Degree",55020,39742,68831,33534
"11044","Bachelor's Degree",63099,40218,63702,50021
"11045","Master's Degree",80013,65440,83016,59964
"11046","Bachelor's Degree",61386,42152,77269,48577
"11047","Associate's Degree",52014,38555,58168,41506
"11048","Bachelor's Degree",61345,48936,69407,52341
"11049","Master's Degree",76999,55459,79735,61682
"11050","Undergraduate Certificate or Diploma",29294,22208,33289,28823
"11051","Bachelor's Degree",59693,47164,66576,53828
"11052","Associate's Degree",55327,45054,81065,64487
"11053","Undergraduate Certificate or Diploma",21495,16629,23171,21883
"11054","Undergraduate Certificate or Diploma",21973,17934,25420,24147
"11055","Undergraduate Certificate or Diploma",10300,13403,17291,14638
"11056","Undergraduate Certificate or Diploma",22788,19492,16868,18019
"11057","Undergraduate Certificate or Diploma",18996,19982,22123,21417
"11058","Undergraduate Certificate or Diploma",75947,65876,82335,74705
"11059","First Professional Degree",45305,39452,68314,67568
"11060","Associate's Degree",23234,23162,28243,24865
"11061","Associate's Degree",28579,22783,32606,24340
"11062","Bachelor's Degree",57489,55909,79113,78592
"11063","Master's Degree",49611,47813,51727,51986
"11064","Bachelor's Degree",26468,27459,38664,34620
"11065","Bachelor's Degree",44927,42026,45822,44763
"11066","Bachelor's Degree",24778,25445,48314,40155
"11067","Bachelor's Degree",29227,28558,44082,40715
"11068","Bachelor's Degree",31840,33473,41881,42642
"11069","Bachelor's Degree",34293,33930,54697,42004
"11070","Bachelor's Degree",42074,43198,53798,50021
"11071","Bachelor's Degree",39207,40375,54102,50714
"11072","Master's Degree",78437,74761,90737,83607
"11073","Bachelor's Degree",50893,50906,63466,59858
"11074","Bachelor's Degree",49296,43930,63755,59527
"11075","Bachelor's Degree",40954,41021,55366,52866
"11076","Bachelor's Degree",29649,30009,43458,35270
"11077","Undergraduate Certificate or Diploma",18813,18846,20649,24013
"11078","Associate's Degree",29467,32914,44725,34988
"11079","Associate's Degree",34618,25238,41002,31139
"11080","Associate's Degree",31045,29796,28680,30433
"11081","Associate's Degree",63206,62440,71035,64594
"11082","Associate's Degree",36762,27100,30145,30892
"11083","Bachelor's Degree",38647,37157,47744,38654
"11084","Associate's Degree",27934,22048,31550,25982
"11085","Bachelor's Degree",30492,27556,32933,33305
"11086","Bachelor's Degree",24699,23956,36834,33572
"11087","Bachelor's Degree",21855,19211,33773,34215
"11088","Undergraduate Certificate or Diploma",16070,20665,30236,26649
"11089","Undergraduate Certificate or Diploma",25737,21429,32334,28175
"11090","Undergraduate Certificate or Diploma",24574,21785,31287,26014
"11091","Associate's Degree",26657,26300,40279,35857
"11092","Associate's Degree",31912,20378,35541,26659
"11093","Undergraduate Certificate or Diploma",25737,21429,32334,28175
"11094","Undergraduate Certificate or Diploma",24574,21785,31287,26014
"11095","Associate's Degree",26657,26300,40279,35857
"11096","Associate's Degree",29765,24307,26938,24284
"11097","Associate's Degree",27351,28664,46836,35895
"11098","Bachelor's Degree",49973,38443,54276,52700
"11099","Associate's Degree",27351,28664,46836,35895
"11100","Bachelor's Degree",49973,38443,54276,52700
"11101","Undergraduate Certificate or Diploma",25026,22593,22065,25452
"11102","Undergraduate Certificate or Diploma",25299,25168,26462,25949
"11103","Undergraduate Certificate or Diploma",22224,23645,34342,27582
"11104","Associate's Degree",48021,40963,53431,40759
"11105","Associate's Degree",67321,60820,77995,66484
"11106","Bachelor's Degree",62246,54995,81541,67076
"11107","Bachelor's Degree",81098,56639,81029,70370
"11108","Master's Degree",75874,66988,91518,68688
"11109","Master's Degree",47328,43815,46246,45333
"11110","Bachelor's Degree",51159,37633,58130,44684
"11111","Master's Degree",52253,48068,60198,53323
"11112","Bachelor's Degree",58320,47076,67692,55569
"11113","Master's Degree",69438,54417,78289,60892
"11114","Bachelor's Degree",48333,48441,50241,56517
"11115","Master's Degree",57206,57848,62101,59490
"11116","Master's Degree",45398,50349,59988,54174
"11117","Bachelor's Degree",62246,54995,81541,67076
"11118","Bachelor's Degree",81098,56639,81029,70370
"11119","Master's Degree",75874,66988,91518,68688
"11120","Master's Degree",47328,43815,46246,45333
"11121","Bachelor's Degree",51159,37633,58130,44684
"11122","Master's Degree",52253,48068,60198,53323
"11123","Bachelor's Degree",58320,47076,67692,55569
"11124","Master's Degree",69438,54417,78289,60892
"11125","Bachelor's Degree",48333,48441,50241,56517
"11126","Master's Degree",57206,57848,62101,59490
"11127","Master's Degree",45398,50349,59988,54174
"11128","Undergraduate Certificate or Diploma",21055,15891,24339,19401
"11129","Bachelor's Degree",44154,45386,49150,50264
"11130","Bachelor's Degree",81992,74327,93513,81109
"11131","Master's Degree",103927,96500,118145,103042
"11132","Bachelor's Degree",81992,74327,93513,81109
"11133","Bachelor's Degree",81992,74327,93513,81109
"11134","Undergraduate Certificate or Diploma",28048,22815,25656,25973
"11135","Undergraduate Certificate or Diploma",13231,15102,17493,16617
"11136","Undergraduate Certificate or Diploma",13231,15102,17493,16617
"11137","Undergraduate Certificate or Diploma",13231,15102,17493,16617
"11138","Undergraduate Certificate or Diploma",29514,25391,32606,23216
"11139","Undergraduate Certificate or Diploma",29759,21013,30054,30297
"11140","Bachelor's Degree",70412,66465,71059,70634
"11141","Associate's Degree",51997,38696,68011,47588
"11142","Associate's Degree",22645,15953,15221,16293
"11143","Associate's Degree",37788,20687,39628,31935
"11144","Associate's Degree",31005,34841,51756,37900
"11145","Associate's Degree",77941,72325,89223,79222
"11146","Undergraduate Certificate or Diploma",54679,50844,72845,57115
"11147","Undergraduate Certificate or Diploma",61585,51665,49797,49303
"11148","First Professional Degree",56242,58456,154050,137234
"11149","Master's Degree",55374,52595,64502,61396
"11150","Undergraduate Certificate or Diploma",25124,21737,24433,22411
"11151","Undergraduate Certificate or Diploma",25124,21737,24433,22411
"11152","Undergraduate Certificate or Diploma",22041,18015,24087,22430
"11153","Undergraduate Certificate or Diploma",22224,23645,34342,27582
"11154","Master's Degree",55374,52595,64502,61396
"11155","Doctoral Degree",67558,66226,94421,84635
"11156","Master's Degree",69031,72287,93729,84737
"11157","Undergraduate Certificate or Diploma",22826,23384,31786,30514
"11158","Associate's Degree",33387,32557,38994,36421
"11159","Undergraduate Certificate or Diploma",28838,27261,35535,31055
"11160","Undergraduate Certificate or Diploma",31074,29321,36387,32958
"11161","Associate's Degree",45264,41247,49755,42459
"11162","Undergraduate Certificate or Diploma",32131,27468,39735,31263
"11163","Undergraduate Certificate or Diploma",28693,27679,40566,34918
"11164","Undergraduate Certificate or Diploma",17120,15502,27360,19726
"11165","Undergraduate Certificate or Diploma",19375,17737,14716,21097
"11166","Undergraduate Certificate or Diploma",11953,14942,20554,18327
"11167","Undergraduate Certificate or Diploma",25597,21052,26838,22699
"11168","Associate's Degree",26601,24255,31273,26858
"11169","Associate's Degree",41795,31459,49060,35569
"11170","Undergraduate Certificate or Diploma",23216,19261,22570,22386
"11171","Undergraduate Certificate or Diploma",24566,23829,26345,24904
"11172","Doctoral Degree",62182,61835,73708,110046
"11173","Associate's Degree",33990,24659,38636,25761
"11174","Associate's Degree",26601,24255,31273,26858
"11175","Associate's Degree",41795,31459,49060,35569
"11176","Undergraduate Certificate or Diploma",20306,17988,26212,19667
"11177","Associate's Degree",26009,21169,26637,26176
"11178","Bachelor's Degree",62246,54995,81541,67076
"11179","Bachelor's Degree",81098,56639,81029,70370
"11180","Master's Degree",75874,66988,91518,68688
"11181","Master's Degree",47328,43815,46246,45333
"11182","Bachelor's Degree",51159,37633,58130,44684
"11183","Master's Degree",52253,48068,60198,53323
"11184","Bachelor's Degree",58320,47076,67692,55569
"11185","Master's Degree",69438,54417,78289,60892
"11186","Bachelor's Degree",48333,48441,50241,56517
"11187","Master's Degree",57206,57848,62101,59490
"11188","Master's Degree",45398,50349,59988,54174
"11189","Associate's Degree",33496,27429,42891,31608
"11190","Undergraduate Certificate or Diploma",27006,23679,30451,27505
"11191","Associate's Degree",24724,25959,34881,29161
"11192","Undergraduate Certificate or Diploma",30425,24337,21088,30025
"11193","Associate's Degree",41641,27398,38892,32137
"11194","Undergraduate Certificate or Diploma",22753,16733,22182,19433
"11195","Undergraduate Certificate or Diploma",20927,17368,25987,21765
"11196","Undergraduate Certificate or Diploma",32070,24206,36844,24686
"11197","Undergraduate Certificate or Diploma",17306,19792,25053,22175
"11198","Undergraduate Certificate or Diploma",25597,21052,26838,22699
"11199","Bachelor's Degree",40005,58532,64670,64948
"11200","Undergraduate Certificate or Diploma",15715,13613,20168,15583
"11201","Undergraduate Certificate or Diploma",25621,22082,24641,26590
"11202","Undergraduate Certificate or Diploma",16864,18426,24299,16605
"11203","Undergraduate Certificate or Diploma",28020,23570,31476,27483
"11204","Undergraduate Certificate or Diploma",29761,26823,31763,29760
"11205","Associate's Degree",49526,49976,61127,52822
"11206","Undergraduate Certificate or Diploma",26084,20057,34413,23637
"11207","Associate's Degree",79602,72762,84308,77995
"11208","Bachelor's Degree",81992,74327,93513,81109
"11209","Undergraduate Certificate or Diploma",25737,21429,32334,28175
"11210","Undergraduate Certificate or Diploma",24574,21785,31287,26014
"11211","Undergraduate Certificate or Diploma",31462,26393,37259,30795
"11212","Undergraduate Certificate or Diploma",33657,33870,37568,32166
"11213","Undergraduate Certificate or Diploma",29235,21187,30008,28795
"11214","Undergraduate Certificate or Diploma",49005,45477,48181,46552
"11215","Undergraduate Certificate or Diploma",22644,25412,28300,19750
"11216","Bachelor's Degree",90318,84973,110019,95756
"11217","Bachelor's Degree",90318,84973,110019,95756
"11218","Undergraduate Certificate or Diploma",29602,29039,33871,33119
"11219","Undergraduate Certificate or Diploma",28752,23525,29038,25955
"11220","Undergraduate Certificate or Diploma",21021,17452,17872,23252
"11221","Undergraduate Certificate or Diploma",22041,18015,24087,22430
"11222","Undergraduate Certificate or Diploma",22167,21607,27944,24442
"11223","Undergraduate Certificate or Diploma",42055,37089,26028,26784
"11224","Undergraduate Certificate or Diploma",11953,14942,20554,18327
"11225","Associate's Degree",33990,24659,38636,25761
"11226","Undergraduate Certificate or Diploma",25597,21052,26838,22699
"11227","Associate's Degree",26601,24255,31273,26858
"11228","Undergraduate Certificate or Diploma",20306,17988,26212,19667
"11229","Undergraduate Certificate or Diploma",22175,18823,30610,21787
"11230","Associate's Degree",33990,24659,38636,25761
"11231","Undergraduate Certificate or Diploma",25597,21052,26838,22699
"11232","Associate's Degree",26601,24255,31273,26858
"11233","Associate's Degree",26009,21169,26637,26176
"11234","Bachelor's Degree",22757,30932,47217,45288
"11235","Associate's Degree",24606,21170,34367,26831
"11236","Bachelor's Degree",31500,24149,37341,28264
"11237","Bachelor's Degree",21786,19387,32647,34036
"11238","Bachelor's Degree",19402,19939,25673,30640
"11239","Bachelor's Degree",19295,23944,40799,30807
"11240","Undergraduate Certificate or Diploma",15896,16316,21326,19967
"11241","Undergraduate Certificate or Diploma",18796,15804,23916,20331
"11242","Undergraduate Certificate or Diploma",16141,16017,17259,18887
"11243","Undergraduate Certificate or Diploma",17120,15502,27360,19726
"11244","Undergraduate Certificate or Diploma",16141,16017,17259,18887
"11245","Undergraduate Certificate or Diploma",16295,15930,20690,20462
"11246","Undergraduate Certificate or Diploma",16141,16017,17259,18887
"11247","Bachelor's Degree",62246,54995,81541,67076
"11248","Bachelor's Degree",81098,56639,81029,70370
"11249","Master's Degree",75874,66988,91518,68688
"11250","Master's Degree",47328,43815,46246,45333
"11251","Bachelor's Degree",51159,37633,58130,44684
"11252","Master's Degree",52253,48068,60198,53323
"11253","Bachelor's Degree",58320,47076,67692,55569
"11254","Master's Degree",69438,54417,78289,60892
"11255","Bachelor's Degree",48333,48441,50241,56517
"11256","Master's Degree",57206,57848,62101,59490
"11257","Master's Degree",45398,50349,59988,54174
"11258","Bachelor's Degree",62246,54995,81541,67076
"11259","Bachelor's Degree",81098,56639,81029,70370
"11260","Master's Degree",75874,66988,91518,68688
"11261","Master's Degree",47328,43815,46246,45333
"11262","Bachelor's Degree",51159,37633,58130,44684
"11263","Master's Degree",52253,48068,60198,53323
"11264","Bachelor's Degree",58320,47076,67692,55569
"11265","Master's Degree",69438,54417,78289,60892
"11266","Bachelor's Degree",48333,48441,50241,56517
"11267","Master's Degree",57206,57848,62101,59490
"11268","Master's Degree",45398,50349,59988,54174
"11269","Bachelor's Degree",62246,54995,81541,67076
"11270","Bachelor's Degree",81098,56639,81029,70370
"11271","Master's Degree",75874,66988,91518,68688
"11272","Master's Degree",47328,43815,46246,45333
"11273","Bachelor's Degree",51159,37633,58130,44684
"11274","Master's Degree",52253,48068,60198,53323
"11275","Bachelor's Degree",58320,47076,67692,55569
"11276","Master's Degree",69438,54417,78289,60892
"11277","Bachelor's Degree",48333,48441,50241,56517
"11278","Master's Degree",57206,57848,62101,59490
"11279","Master's Degree",45398,50349,59988,54174
"11280","Bachelor's Degree",62246,54995,81541,67076
"11281","Bachelor's Degree",81098,56639,81029,70370
"11282","Master's Degree",75874,66988,91518,68688
"11283","Master's Degree",47328,43815,46246,45333
"11284","Bachelor's Degree",51159,37633,58130,44684
"11285","Master's Degree",52253,48068,60198,53323
"11286","Bachelor's Degree",58320,47076,67692,55569
"11287","Master's Degree",69438,54417,78289,60892
"11288","Bachelor's Degree",48333,48441,50241,56517
"11289","Master's Degree",57206,57848,62101,59490
"11290","Master's Degree",45398,50349,59988,54174
"11291","Bachelor's Degree",62246,54995,81541,67076
"11292","Bachelor's Degree",81098,56639,81029,70370
"11293","Master's Degree",75874,66988,91518,68688
"11294","Master's Degree",47328,43815,46246,45333
"11295","Bachelor's Degree",51159,37633,58130,44684
"11296","Master's Degree",52253,48068,60198,53323
"11297","Bachelor's Degree",58320,47076,67692,55569
"11298","Master's Degree",69438,54417,78289,60892
"11299","Bachelor's Degree",48333,48441,50241,56517
"11300","Master's Degree",57206,57848,62101,59490
"11301","Master's Degree",45398,50349,59988,54174
"11302","Associate's Degree",27934,22048,31550,25982
"11303","Bachelor's Degree",30492,27556,32933,33305
"11304","Bachelor's Degree",24699,23956,36834,33572
"11305","Bachelor's Degree",21855,19211,33773,34215
"11306","Undergraduate Certificate or Diploma",16295,15930,20690,20462
"11307","Undergraduate Certificate or Diploma",16141,16017,17259,18887
"11308","Undergraduate Certificate or Diploma",17120,15502,27360,19726
"11309","Undergraduate Certificate or Diploma",19375,17737,14716,21097
"11310","Undergraduate Certificate or Diploma",34686,30263,39778,36702
"11311","Associate's Degree",118379,108379,130804,119622
"11312","Undergraduate Certificate or Diploma",54405,56082,73852,68798
"11313","Associate's Degree",70469,63835,125382,89347
"11314","Undergraduate Certificate or Diploma",53097,49674,74339,55397
"11315","Bachelor's Degree",43937,37721,63266,45874
"11316","Bachelor's Degree",30806,28007,34983,36477
"11317","Bachelor's Degree",39721,34521,47234,39910
"11318","Bachelor's Degree",48012,35961,47776,39434
"11319","Associate's Degree",42052,37052,53825,40094
"11320","Master's Degree",103532,100576,131316,109184
"11321","Bachelor's Degree",70277,68077,87236,78337
"11322","Master's Degree",101857,94240,114148,105648
"11323","Bachelor's Degree",40514,35625,57998,41858
"11324","Master's Degree",54751,50295,68506,53984
"11325","Bachelor's Degree",43937,37721,63266,45874
"11326","Bachelor's Degree",30806,28007,34983,36477
"11327","Bachelor's Degree",39721,34521,47234,39910
"11328","Bachelor's Degree",48012,35961,47776,39434
"11329","Master's Degree",48608,46488,83486,49279
"11330","Associate's Degree",42052,37052,53825,40094
"11331","Bachelor's Degree",70277,68077,87236,78337
"11332","Master's Degree",101857,94240,114148,105648
"11333","Bachelor's Degree",40514,35625,57998,41858
"11334","Master's Degree",54751,50295,68506,53984
"11335","Master's Degree",127803,115995,151352,123742
"11336","First Professional Degree",59621,59695,129065,149465
"11337","First Professional Degree",106825,98218,161919,160227
"11338","Master's Degree",55374,52595,64502,61396
"11339","Doctoral Degree",67558,66226,94421,84635
"11340","Master's Degree",127803,115995,151352,123742
"11341","First Professional Degree",59621,59695,129065,149465
"11342","Bachelor's Degree",69568,43489,71148,51775
"11343","Associate's Degree",49359,29843,52901,32277
"11344","Bachelor's Degree",70098,66934,80311,70305
"11345","Master's Degree",98282,98092,121594,113598
"11346","Bachelor's Degree",54941,43868,66854,51140
"11347","Master's Degree",60048,52307,61360,48600
"11348","Bachelor's Degree",69568,43489,71148,51775
"11349","Associate's Degree",49359,29843,52901,32277
"11350","Bachelor's Degree",70098,66934,80311,70305
"11351","Master's Degree",98282,98092,121594,113598
"11352","Bachelor's Degree",54941,43868,66854,51140
"11353","Master's Degree",60048,52307,61360,48600
"11354","Undergraduate Certificate or Diploma",24073,21070,21128,27830
"11355","Undergraduate Certificate or Diploma",32730,31825,37593,29245
"11356","Undergraduate Certificate or Diploma",21964,21595,24779,23651
"11357","Undergraduate Certificate or Diploma",21882,19737,25180,22594
"11358","Undergraduate Certificate or Diploma",20870,20488,26970,23819
"11359","Undergraduate Certificate or Diploma",21964,21595,24779,23651
"11360","Undergraduate Certificate or Diploma",21882,19737,25180,22594
"11361","Undergraduate Certificate or Diploma",20870,20488,26970,23819
"11362","Bachelor's Degree",62246,54995,81541,67076
"11363","Bachelor's Degree",81098,56639,81029,70370
"11364","Master's Degree",75874,66988,91518,68688
"11365","Master's Degree",47328,43815,46246,45333
"11366","Bachelor's Degree",51159,37633,58130,44684
"11367","Master's Degree",52253,48068,60198,53323
"11368","Bachelor's Degree",58320,47076,67692,55569
"11369","Master's Degree",69438,54417,78289,60892
"11370","Bachelor's Degree",48333,48441,50241,56517
"11371","Master's Degree",57206,57848,62101,59490
"11372","Master's Degree",45398,50349,59988,54174
"11373","Undergraduate Certificate or Diploma",27622,25604,29397,29431
"11374","Associate's Degree",68883,61416,74264,63591
"11375","Undergraduate Certificate or Diploma",25299,25168,26462,25949
"11376","Undergraduate Certificate or Diploma",25026,22593,22065,25452
"11377","Undergraduate Certificate or Diploma",24566,23829,26345,24904
"11378","Undergraduate Certificate or Diploma",22826,23384,31786,30514
"11379","Associate's Degree",33387,32557,38994,36421
"11380","Undergraduate Certificate or Diploma",30174,24855,35711,29844
"11381","Undergraduate Certificate or Diploma",28838,27261,35535,31055
"11382","Undergraduate Certificate or Diploma",31074,29321,36387,32958
"11383","Associate's Degree",45264,41247,49755,42459
"11384","Associate's Degree",59766,55235,70323,61397
"11385","Undergraduate Certificate or Diploma",32131,27468,39735,31263
"11386","Undergraduate Certificate or Diploma",28693,27679,40566,34918
"11387","Undergraduate Certificate or Diploma",22257,15279,28299,19741
"11388","Undergraduate Certificate or Diploma",31133,24977,34470,28795
"11389","Undergraduate Certificate or Diploma",32070,24206,36844,24686
"11390","Undergraduate Certificate or Diploma",29342,23031,33418,30090
"11391","Undergraduate Certificate or Diploma",31209,27624,35259,31737
"11392","Associate's Degree",52113,42459,57817,48260
"11393","Associate's Degree",61073,50345,64295,53144
"11394","Associate's Degree",82167,65103,74564,76041
"11395","Undergraduate Certificate or Diploma",55986,52347,58882,55949
"11396","Undergraduate Certificate or Diploma",27313,25907,27385,26386
"11397","Undergraduate Certificate or Diploma",21771,21881,32104,29192
"11398","Undergraduate Certificate or Diploma",29023,25304,34428,27384
"11399","Associate's Degree",41789,42391,50251,53423
"11400","Associate's Degree",56976,51261,49636,52119
"11401","Bachelor's Degree",18192,36735,51058,39358
"11402","Bachelor's Degree",34110,30864,39966,36441
"11403","Bachelor's Degree",25537,32229,44896,42164
"11404","Bachelor's Degree",37078,36288,56431,45055
"11405","Bachelor's Degree",42134,35881,49392,47052
"11406","Master's Degree",58392,47724,65479,64789
"11407","Bachelor's Degree",44081,48124,65953,60671
"11408","Bachelor's Degree",33956,32561,46329,40745
"11409","Bachelor's Degree",51201,38251,52452,48990
"11410","Undergraduate Certificate or Diploma",22167,21607,27944,24442
"11411","Undergraduate Certificate or Diploma",42055,37089,26028,26784
"11412","Undergraduate Certificate or Diploma",13231,15102,17493,16617
"11413","Undergraduate Certificate or Diploma",15715,13613,20168,15583
"11414","Undergraduate Certificate or Diploma",25621,22082,24641,26590
"11415","Undergraduate Certificate or Diploma",16864,18426,24299,16605
"11416","Undergraduate Certificate or Diploma",13231,15102,17493,16617
"11417","Undergraduate Certificate or Diploma",39196,32898,46938,35512
"11418","Undergraduate Certificate or Diploma",22644,25412,28300,19750
"11419","Undergraduate Certificate or Diploma",16383,17847,19622,18750
"11420","Undergraduate Certificate or Diploma",23970,22209,24505,25375
"11421","Undergraduate Certificate or Diploma",16667,9581,17393,11631
"11422","Undergraduate Certificate or Diploma",17673,18394,16898,19022
"11423","Bachelor's Degree",90666,78732,116595,88976
"11424","Master's Degree",97251,95862,93136,100949
"11425","Undergraduate Certificate or Diploma",25737,21429,32334,28175
"11426","Undergraduate Certificate or Diploma",24574,21785,31287,26014
"11427","Associate's Degree",26657,26300,40279,35857
"11428","Undergraduate Certificate or Diploma",11953,14942,20554,18327
"11429","Undergraduate Certificate or Diploma",25597,21052,26838,22699
"11430","Associate's Degree",26601,24255,31273,26858
"11431","Associate's Degree",26009,21169,26637,26176
"11432","Associate's Degree",33990,24659,38636,25761
"11433","Undergraduate Certificate or Diploma",25597,21052,26838,22699
"11434","Associate's Degree",26601,24255,31273,26858
"11435","Undergraduate Certificate or Diploma",20306,17988,26212,19667
"11436","Associate's Degree",26009,21169,26637,26176
"11437","Undergraduate Certificate or Diploma",11953,14942,20554,18327
"11438","Associate's Degree",33990,24659,38636,25761
"11439","Undergraduate Certificate or Diploma",25597,21052,26838,22699
"11440","Associate's Degree",26601,24255,31273,26858
"11441","Undergraduate Certificate or Diploma",20306,17988,26212,19667
"11442","Associate's Degree",26009,21169,26637,26176
"11443","Bachelor's Degree",81992,74327,93513,81109
"11444","Associate's Degree",33228,21836,35935,28306
"11445","Associate's Degree",62540,45443,58271,52304
"11446","Associate's Degree",34417,22681,39830,26777
"11447","Bachelor's Degree",49268,35083,52488,32934
"11448","Undergraduate Certificate or Diploma",8797,12847,24127,13004
"11449","Undergraduate Certificate or Diploma",20141,18216,21115,22987
"11450","Undergraduate Certificate or Diploma",36367,27233,26567,28226
"11451","Undergraduate Certificate or Diploma",23732,24255,30020,24072
"11452","Undergraduate Certificate or Diploma",64851,60067,76074,60381
"11453","Undergraduate Certificate or Diploma",11069,20205,23775,22588
"11454","Undergraduate Certificate or Diploma",21149,25442,26063,14958
"11455","Undergraduate Certificate or Diploma",19363,26092,23434,23579
"11456","Undergraduate Certificate or Diploma",16606,14551,17080,18827
"11457","Bachelor's Degree",34414,27889,48256,44190
"11458","Bachelor's Degree",36930,36870,56034,61856
"11459","Master's Degree",50362,51280,57858,55341
"11460","Graduate/Professional Certificate",84017,77068,117784,91904
"11461","Bachelor's Degree",64228,70921,87090,83242
"11462","First Professional Degree",76515,69454,101345,108437
"11463","Bachelor's Degree",27379,28543,46824,50186
"11464","Bachelor's Degree",37297,39843,44280,50644
"11465","Bachelor's Degree",30972,30031,56905,54733
"11466","Bachelor's Degree",29290,28236,69804,70589
"11467","Bachelor's Degree",51025,60684,70108,62696
"11468","Bachelor's Degree",38878,39222,51894,52545
"11469","Bachelor's Degree",31575,36395,53792,51072
"11470","Master's Degree",55835,53020,63594,59637
"11471","Bachelor's Degree",51431,49758,67293,67904
"11472","Bachelor's Degree",35720,35499,57534,61318
"11473","Bachelor's Degree",34700,32569,55623,45927
"11474","First Professional Degree",76942,89417,181860,148105
"11475","Bachelor's Degree",34833,30354,66160,69173
"11476","First Professional Degree",65432,63936,89776,93817
"11477","Doctoral Degree",83510,85539,135191,127089
"11478","Bachelor's Degree",77185,75659,81035,81079
"11479","Bachelor's Degree",48195,46584,65007,60707
"11480","Bachelor's Degree",50584,53469,68516,73662
"11481","Master's Degree",112891,92169,140522,136687
"11482","Bachelor's Degree",66717,67381,80606,82779
"11483","Master's Degree",68280,68840,97756,92485
"11484","Bachelor's Degree",64437,64473,85631,89190
"11485","Bachelor's Degree",58861,62249,93806,99178
"11486","Bachelor's Degree",51769,53618,66757,76472
"11487","Bachelor's Degree",35360,22251,48385,53152
"11488","Bachelor's Degree",21319,22824,30530,23801
"11489","Associate's Degree",33228,21836,35935,28306
"11490","Bachelor's Degree",95270,69651,85159,76343
"11491","Associate's Degree",34417,22681,39830,26777
"11492","Bachelor's Degree",49268,35083,52488,32934
"11493","Master's Degree",56486,49423,84850,54089
"11494","Associate's Degree",27351,28664,46836,35895
"11495","Bachelor's Degree",49973,38443,54276,52700
"11496","Associate's Degree",27351,28664,46836,35895
"11497","Bachelor's Degree",49973,38443,54276,52700
"11498","Associate's Degree",27351,28664,46836,35895
"11499","Bachelor's Degree",49973,38443,54276,52700
"11500","Bachelor's Degree",81992,74327,93513,81109
"11501","Bachelor's Degree",81992,74327,93513,81109
"11502","Undergraduate Certificate or Diploma",19509,18511,19767,21825
"11503","Associate's Degree",34596,31565,43523,37957
"11504","Undergraduate Certificate or Diploma",18409,17654,20531,20606
"11505","Undergraduate Certificate or Diploma",18409,17654,20531,20606
"11506","Bachelor's Degree",30806,28007,34983,36477
"11507","Bachelor's Degree",48012,35961,47776,39434
"11508","Master's Degree",48608,46488,83486,49279
"11509","Associate's Degree",42052,37052,53825,40094
"11510","Bachelor's Degree",70277,68077,87236,78337
